"","Juniperus_oxycedrus","Clematis_flammula","Silene_canescens","Salsola_kali","Polygonum_maritimum","Phillyrea_angustifolia","Helichrysum_stoechas","Otanthus_maritimus","Centaurea_sphaerocephala","Sonchus_bulbosus","Anthemis_maritima","Pycnocomon_rutifolium","Lonicera_implexa","Eryngium_maritimum","Echinophora_spinosa","Pseudorlaya_pumila","Rubia_peregrina","Crucianella_maritima","Prasium_majus","Plantago_coronopus","Calystegia_soldanella","Lotus_cytisoides","Ononis_variegata","Medicago_littoralis","Medicago_marina","Quercus_ilex","Euphorbia_terracina","Chamaesyce_peplis","Pistacia_lentiscus","Daphne_gnidium","Cakile_maritima","Smilax_aspera","Pancratium_maritimum","Asparagus_acutifolius","Cyperus_kalli","Lophocloa_pubescens","Lagurus_ovatus","Sporobolus_virginicus","Bromus_diandrus","Cutandia_maritima","Ammophila_arenaria","Vulpia_fasciculata","Elymus_farctus"
"Pancratium_maritimum",0.700711904,0.402947182,0.624305169,0.656770526,0.561034784,0.485012754,0.484526278,0.533253684,0.560636417,0.613061519,0.577303018,0.696134191,0.605043185,0.569983508,0.537047555,0.693945833,0.532558995,0.646748255,0.492371493,0.698811983,0.580911595,0.697527633,0.600701711,0.696494364,0.669224983,0.393165555,0.571805025,0.622135247,0.662891095,0.598220862,0.555305724,0.691939944,0,0.745095094,0.615732099,0.587977169,0.63179993,0.632430205,0.638480962,0.708144709,0.608042914,0.641431681,0.724089106
"Asparagus_acutifolius",0.680739736,0.740516091,0.627150899,0.662790534,0.769991832,0.818773852,0.756654303,0.788677102,0.632877129,0.650873981,0.815573352,0.710717269,0.727765122,0.60964831,0.786508124,0.698091497,0.762827313,0.760517633,0.725169609,0.716166287,0.508506871,0.670992351,0.774675878,0.756015005,0.727653408,0.745882357,0.849619413,0.430367835,0.382833059,0.726434488,0.626976593,0.675216495,0.745095094,0,0.450021677,0.491368957,0.792307303,0.789505351,0.582369393,0.756977587,0.756616941,0.626356212,0.71423206
"Cyperus_kalli",0.679679733,0.590741238,0.547134414,0.643659006,0.646671575,0.683975467,0.613452531,0.660284023,0.410452747,0.490400366,0.685482769,0.681387901,0.683639606,0.403323332,0.672501567,0.67737135,0.643301078,0.602064465,0.588831224,0.686027508,0.174694033,0.629958865,0.617064944,0.621630113,0.572279665,0.614673498,0.735303209,0.061598464,0.282214257,0.672841081,0.416119753,0.628345725,0.615732099,0.450021677,0,0.189688871,0.723828355,0.647216623,0.394819939,0.646032341,0.734317149,0.430821004,0.71423376
"Lophocloa_pubescens",0.707024351,0.584853658,0.490524978,0.650790103,0.669092123,0.67425807,0.580796703,0.648516726,0.436724353,0.473284546,0.635488648,0.694351475,0.681502737,0.318695919,0.665767205,0.698833582,0.623704916,0.608710362,0.566832979,0.707656361,0.102038954,0.640049728,0.627643867,0.613968437,0.590060962,0.585363144,0.705364217,0.202387803,0.334598388,0.697221377,0.427597657,0.64831484,0.587977169,0.491368957,0.189688871,0,0.700877992,0.662652581,0.321735875,0.651151166,0.694681155,0.416746026,0.720024819
"Lagurus_ovatus",0.705677382,0.525163417,0.676410978,0.563894945,0.446484267,0.627924902,0.576352859,0.459698239,0.718186819,0.587491427,0.69422023,0.411848574,0.636821999,0.675437562,0.652452979,0.696490059,0.672893223,0.581135587,0.691889871,0.418861273,0.682882924,0.473424674,0.675440135,0.612362897,0.762433901,0.632738398,0.637821805,0.730798334,0.680673149,0.441957517,0.729875652,0.519101908,0.63179993,0.792307303,0.723828355,0.700877992,0,0.509141795,0.727038346,0.75689808,0.655565634,0.723837927,0.477527827
"Sporobolus_virginicus",0.749483677,0.607147065,0.712092671,0.547313998,0.281842362,0.596717368,0.568242976,0.397859698,0.521256271,0.546546196,0.628232814,0.469717837,0.645606359,0.638749775,0.727124819,0.736868485,0.67863158,0.37153357,0.551590024,0.483074175,0.653137822,0.457324883,0.449299457,0.40592196,0.640129528,0.631096444,0.66012814,0.656986868,0.677131001,0.447046281,0.586780741,0.453328191,0.632430205,0.789505351,0.647216623,0.662652581,0.509141795,0,0.744937404,0.623078884,0.779429651,0.702636068,0.525229044
"Bromus_diandrus",0.700489537,0.648626651,0.409362815,0.730498611,0.744133474,0.649592396,0.636228914,0.704755926,0.568467771,0.550119948,0.609994035,0.764858597,0.645190524,0.402299872,0.594085849,0.698919745,0.653114701,0.705648411,0.643150877,0.771907384,0.316865375,0.719660418,0.724920316,0.719593961,0.593196027,0.637703079,0.648372133,0.396985598,0.470294348,0.760490197,0.572503306,0.719987308,0.638480962,0.582369393,0.394819939,0.321735875,0.727038346,0.744937404,0,0.667586718,0.6484445,0.334493804,0.788939277
"Cutandia_maritima",0.633304095,0.696930404,0.755883614,0.618099553,0.655507609,0.558239397,0.655372366,0.633886984,0.656559321,0.597113201,0.674901491,0.672729747,0.651870202,0.633880583,0.69533628,0.617318051,0.666999146,0.574015615,0.634395477,0.673456843,0.665389709,0.627970386,0.579268381,0.469463873,0.526842145,0.707355383,0.631656962,0.657762679,0.698804782,0.646668257,0.678387738,0.521884663,0.708144709,0.756977587,0.646032341,0.651151166,0.75689808,0.623078884,0.667586718,0,0.667441516,0.634891752,0.705061159
"Ammophila_arenaria",0.408655005,0.626177351,0.600106783,0.615300432,0.765062545,0.696147353,0.614618612,0.735169836,0.744969615,0.664602829,0.581396327,0.613283501,0.43746434,0.674428001,0.696580746,0.394924432,0.647260233,0.747807789,0.673105614,0.62066819,0.697521648,0.666330471,0.761093775,0.775847002,0.69717252,0.662999851,0.651190988,0.737272265,0.698118988,0.723153676,0.73356538,0.714074494,0.608042914,0.756616941,0.734317149,0.694681155,0.655565634,0.779429651,0.6484445,0.667441516,0,0.668696749,0.631018782
"Vulpia_fasciculata",0.678540841,0.631466994,0.502139971,0.709392566,0.708615941,0.62485586,0.636677887,0.686377626,0.580056176,0.602519021,0.537883563,0.739388746,0.634443204,0.501722022,0.598079572,0.668880809,0.665019111,0.660412663,0.569417381,0.74724236,0.395889841,0.689910174,0.625051378,0.685314613,0.450465555,0.576338424,0.66206222,0.439729237,0.495033683,0.726234517,0.443909608,0.687736644,0.641431681,0.626356212,0.430821004,0.416746026,0.723837927,0.702636068,0.334493804,0.634891752,0.668696749,0,0.770047337
"Elymus_farctus",0.588417019,0.629639748,0.752131561,0.390794886,0.511404053,0.734709413,0.642860376,0.574224495,0.716897399,0.62473111,0.685406813,0.16083208,0.621769781,0.742050435,0.776412482,0.583978467,0.688256269,0.59013243,0.701582732,0.250672517,0.723997779,0.29969578,0.6779735,0.571364455,0.735489344,0.722220092,0.777631931,0.707414303,0.6691415,0.500841727,0.716375236,0.484603096,0.724089106,0.71423206,0.71423376,0.720024819,0.477527827,0.525229044,0.788939277,0.705061159,0.631018782,0.770047337,0
